      STEP        STATUS_STACK                  SYMBOL_STACK                                                                                                                                                 INPUT
         0          0                             #                                                                                                                                                   intprogram(inta,intb,intc){inti;intj;j=0;if(a>(b+c)){j=a+(b*c+1);}else{j=a;}i=j*2;while(i<=100){i=i*2;}returni;}intdemo(inta){a=a+2;returna*2;}voidmain(){inta;intb;intc;a=3;b=4;c=2;a=program(a,b,demo());return;}#
         1          0 2                             #int                                                                                                                                                  <ID>(int<ID>,int<ID>,int<ID>){int<ID>;int<ID>;<ID>=<INT>;if(<ID>>(<ID>+<ID>)){<ID>=<ID>+(<ID>*<ID>+<INT>);}else{<ID>=<ID>;}<ID>=<ID>*<INT>;while(<ID><=<INT>){<ID>=<ID>*<INT>;}return<ID>;}int<ID>(int<ID>){<ID>=<ID>+<INT>;return<ID>*<INT>;}void<ID>(){int<ID>;int<ID>;int<ID>;<ID>=<INT>;<ID>=<INT>;<ID>=<INT>;<ID>=<ID>(<ID>,<ID>,<ID>());return;}#
         2          0 7                             #FunSpecifier                                                                                                                                                  <ID>(int<ID>,int<ID>,int<ID>){int<ID>;int<ID>;<ID>=<INT>;if(<ID>>(<ID>+<ID>)){<ID>=<ID>+(<ID>*<ID>+<INT>);}else{<ID>=<ID>;}<ID>=<ID>*<INT>;while(<ID><=<INT>){<ID>=<ID>*<INT>;}return<ID>;}int<ID>(int<ID>){<ID>=<ID>+<INT>;return<ID>*<INT>;}void<ID>(){int<ID>;int<ID>;int<ID>;<ID>=<INT>;<ID>=<INT>;<ID>=<INT>;<ID>=<ID>(<ID>,<ID>,<ID>());return;}#
         3          0 7 10                             #FunSpecifier<ID>                                                                                                                                                     (int<ID>,int<ID>,int<ID>){int<ID>;int<ID>;<ID>=<INT>;if(<ID>>(<ID>+<ID>)){<ID>=<ID>+(<ID>*<ID>+<INT>);}else{<ID>=<ID>;}<ID>=<ID>*<INT>;while(<ID><=<INT>){<ID>=<ID>*<INT>;}return<ID>;}int<ID>(int<ID>){<ID>=<ID>+<INT>;return<ID>*<INT>;}void<ID>(){int<ID>;int<ID>;int<ID>;<ID>=<INT>;<ID>=<INT>;<ID>=<INT>;<ID>=<ID>(<ID>,<ID>,<ID>());return;}#
         4          0 7 10 13                             #FunSpecifier<ID>CreateFunTable_m                                                                                                                                                     (int<ID>,int<ID>,int<ID>){int<ID>;int<ID>;<ID>=<INT>;if(<ID>>(<ID>+<ID>)){<ID>=<ID>+(<ID>*<ID>+<INT>);}else{<ID>=<ID>;}<ID>=<ID>*<INT>;while(<ID><=<INT>){<ID>=<ID>*<INT>;}return<ID>;}int<ID>(int<ID>){<ID>=<ID>+<INT>;return<ID>*<INT>;}void<ID>(){int<ID>;int<ID>;int<ID>;<ID>=<INT>;<ID>=<INT>;<ID>=<INT>;<ID>=<ID>(<ID>,<ID>,<ID>());return;}#
         5          0 7 10 13 16                             #FunSpecifier<ID>CreateFunTable_m(                                                                                                                                                   int<ID>,int<ID>,int<ID>){int<ID>;int<ID>;<ID>=<INT>;if(<ID>>(<ID>+<ID>)){<ID>=<ID>+(<ID>*<ID>+<INT>);}else{<ID>=<ID>;}<ID>=<ID>*<INT>;while(<ID><=<INT>){<ID>=<ID>*<INT>;}return<ID>;}int<ID>(int<ID>){<ID>=<ID>+<INT>;return<ID>*<INT>;}void<ID>(){int<ID>;int<ID>;int<ID>;<ID>=<INT>;<ID>=<INT>;<ID>=<INT>;<ID>=<ID>(<ID>,<ID>,<ID>());return;}#
         6          0 7 10 13 16 17                             #FunSpecifier<ID>CreateFunTable_m(int                                                                                                                                                  <ID>,int<ID>,int<ID>){int<ID>;int<ID>;<ID>=<INT>;if(<ID>>(<ID>+<ID>)){<ID>=<ID>+(<ID>*<ID>+<INT>);}else{<ID>=<ID>;}<ID>=<ID>*<INT>;while(<ID><=<INT>){<ID>=<ID>*<INT>;}return<ID>;}int<ID>(int<ID>){<ID>=<ID>+<INT>;return<ID>*<INT>;}void<ID>(){int<ID>;int<ID>;int<ID>;<ID>=<INT>;<ID>=<INT>;<ID>=<INT>;<ID>=<ID>(<ID>,<ID>,<ID>());return;}#
         7          0 7 10 13 16 21                             #FunSpecifier<ID>CreateFunTable_m(VarSpecifier                                                                                                                                                  <ID>,int<ID>,int<ID>){int<ID>;int<ID>;<ID>=<INT>;if(<ID>>(<ID>+<ID>)){<ID>=<ID>+(<ID>*<ID>+<INT>);}else{<ID>=<ID>;}<ID>=<ID>*<INT>;while(<ID><=<INT>){<ID>=<ID>*<INT>;}return<ID>;}int<ID>(int<ID>){<ID>=<ID>+<INT>;return<ID>*<INT>;}void<ID>(){int<ID>;int<ID>;int<ID>;<ID>=<INT>;<ID>=<INT>;<ID>=<INT>;<ID>=<ID>(<ID>,<ID>,<ID>());return;}#
         8          0 7 10 13 16 21 37                             #FunSpecifier<ID>CreateFunTable_m(VarSpecifier<ID>                                                                                                                                                     ,int<ID>,int<ID>){int<ID>;int<ID>;<ID>=<INT>;if(<ID>>(<ID>+<ID>)){<ID>=<ID>+(<ID>*<ID>+<INT>);}else{<ID>=<ID>;}<ID>=<ID>*<INT>;while(<ID><=<INT>){<ID>=<ID>*<INT>;}return<ID>;}int<ID>(int<ID>){<ID>=<ID>+<INT>;return<ID>*<INT>;}void<ID>(){int<ID>;int<ID>;int<ID>;<ID>=<INT>;<ID>=<INT>;<ID>=<INT>;<ID>=<ID>(<ID>,<ID>,<ID>());return;}#
         9          0 7 10 13 16 23                             #FunSpecifier<ID>CreateFunTable_m(ParamDec                                                                                                                                                     ,int<ID>,int<ID>){int<ID>;int<ID>;<ID>=<INT>;if(<ID>>(<ID>+<ID>)){<ID>=<ID>+(<ID>*<ID>+<INT>);}else{<ID>=<ID>;}<ID>=<ID>*<INT>;while(<ID><=<INT>){<ID>=<ID>*<INT>;}return<ID>;}int<ID>(int<ID>){<ID>=<ID>+<INT>;return<ID>*<INT>;}void<ID>(){int<ID>;int<ID>;int<ID>;<ID>=<INT>;<ID>=<INT>;<ID>=<INT>;<ID>=<ID>(<ID>,<ID>,<ID>());return;}#
        10          0 7 10 13 16 23 39                             #FunSpecifier<ID>CreateFunTable_m(ParamDec,                                                                                                                                                   int<ID>,int<ID>){int<ID>;int<ID>;<ID>=<INT>;if(<ID>>(<ID>+<ID>)){<ID>=<ID>+(<ID>*<ID>+<INT>);}else{<ID>=<ID>;}<ID>=<ID>*<INT>;while(<ID><=<INT>){<ID>=<ID>*<INT>;}return<ID>;}int<ID>(int<ID>){<ID>=<ID>+<INT>;return<ID>*<INT>;}void<ID>(){int<ID>;int<ID>;int<ID>;<ID>=<INT>;<ID>=<INT>;<ID>=<INT>;<ID>=<ID>(<ID>,<ID>,<ID>());return;}#
        11          0 7 10 13 16 23 39 17                             #FunSpecifier<ID>CreateFunTable_m(ParamDec,int                                                                                                                                                  <ID>,int<ID>){int<ID>;int<ID>;<ID>=<INT>;if(<ID>>(<ID>+<ID>)){<ID>=<ID>+(<ID>*<ID>+<INT>);}else{<ID>=<ID>;}<ID>=<ID>*<INT>;while(<ID><=<INT>){<ID>=<ID>*<INT>;}return<ID>;}int<ID>(int<ID>){<ID>=<ID>+<INT>;return<ID>*<INT>;}void<ID>(){int<ID>;int<ID>;int<ID>;<ID>=<INT>;<ID>=<INT>;<ID>=<INT>;<ID>=<ID>(<ID>,<ID>,<ID>());return;}#
